Iterations, Bodies, Time
100, 100, 0.0155999
200, 100, 0.0311998
300, 100, 0.0467997
400, 100, 0.0467997
500, 100, 0.0623996
600, 100, 0.0779995
700, 100, 0.0779995
800, 100, 0.109199
900, 100, 0.109199
1000, 100, 0.124799
100, 200, 0.0623996
200, 200, 0.109199
300, 200, 0.155999
400, 200, 0.218399
500, 200, 0.280798
600, 200, 0.278
700, 200, 0.367999
800, 200, 0.405597
900, 200, 0.453397
1000, 200, 0.499197
100, 300, 0.124799
200, 300, 0.233999
300, 300, 0.358798
400, 300, 0.452397
500, 300, 0.561596
600, 300, 0.670796
700, 300, 0.795595
800, 300, 0.904794
900, 300, 1.01399
1000, 300, 1.10859
100, 400, 0.202799
200, 400, 0.405597
300, 400, 0.608396
400, 400, 0.779995
500, 400, 0.998394
600, 400, 1.21679
700, 400, 1.37279
800, 400, 1.57559
900, 400, 1.76279
1000, 400, 1.94998
100, 500, 0.311996
200, 500, 0.608392
300, 500, 0.935988
400, 500, 1.24798
500, 500, 1.52878
600, 500, 1.84078
700, 500, 2.15277
800, 500, 2.44917
900, 500, 2.76116
1000, 500, 3.11996
100, 600, 0.452394
200, 600, 0.889189
300, 600, 1.34358
400, 600, 1.79398
500, 600, 2.21617
600, 600, 2.66757
700, 600, 3.07316
800, 600, 3.54115
900, 600, 4.00915
1000, 600, 4.46154
100, 700, 0.623992
200, 700, 1.20118
300, 700, 1.82518
400, 700, 2.40237
500, 700, 3.01276
600, 700, 3.63475
700, 700, 4.25975
800, 700, 4.80474
900, 700, 5.39753
1000, 700, 6.09952
100, 800, 0.81119
200, 800, 1.55998
300, 800, 2.38677
400, 800, 3.16876
500, 800, 3.97795
600, 800, 4.66634
700, 800, 5.52233
800, 800, 6.27892
900, 800, 7.05471
1000, 800, 7.8491
100, 900, 1.03699
200, 900, 2.01157
300, 900, 2.99876
400, 900, 3.98595
500, 900, 4.97334
600, 900, 5.88112
700, 900, 6.89711
800, 900, 7.8779
900, 900, 8.81589
1000, 900, 10.2029
100, 1000, 1.25459
200, 1000, 2.45557
300, 1000, 3.77217
400, 1000, 4.98715
500, 1000, 6.37113
600, 1000, 7.40991
700, 1000, 8.57989
800, 1000, 9.82787
900, 1000, 11.1237
1000, 1000, 12.3238
