Iterations, Bodies, Time
100, 100, 0.124799
200, 100, 0.0311998
300, 100, 0.0311998
400, 100, 0.0467997
500, 100, 0.0467997
600, 100, 0.0623996
700, 100, 0.0779995
800, 100, 0.0935994
900, 100, 0.109199
1000, 100, 0.109199
100, 200, 0.0155999
200, 200, 0.0467997
300, 200, 0.0467997
400, 200, 0.0477997
500, 200, 0.0935994
600, 200, 0.109199
700, 200, 0.109199
800, 200, 0.124799
900, 200, 0.140399
1000, 200, 0.171599
100, 300, 0.0467997
200, 300, 0.0623996
300, 300, 0.0935994
400, 300, 0.109199
500, 300, 0.140399
600, 300, 0.155999
700, 300, 0.202799
800, 300, 0.218399
900, 300, 0.249598
1000, 300, 0.265198
100, 400, 0.0467997
200, 400, 0.0935994
300, 400, 0.124799
400, 400, 0.171599
500, 400, 0.202799
600, 400, 0.249598
700, 400, 0.280798
800, 400, 0.311998
900, 400, 0.358798
1000, 400, 0.405597
100, 500, 0.0779995
200, 500, 0.124799
300, 500, 0.187199
400, 500, 0.249598
500, 500, 0.296398
600, 500, 0.358798
700, 500, 0.436797
800, 500, 0.483597
900, 500, 0.545997
1000, 500, 0.610396
100, 600, 0.0935994
200, 600, 0.171599
300, 600, 0.280798
400, 600, 0.358798
500, 600, 0.436797
600, 600, 0.530397
700, 600, 0.608396
800, 600, 0.670796
900, 600, 0.779995
1000, 600, 0.842395
100, 700, 0.124799
200, 700, 0.249598
300, 700, 0.374398
400, 700, 0.499197
500, 700, 0.608396
600, 700, 0.733195
700, 700, 0.857994
800, 700, 0.982794
900, 700, 1.10759
1000, 700, 1.24799
100, 800, 0.155999
200, 800, 0.311998
300, 800, 0.467997
400, 800, 0.608396
500, 800, 0.779995
600, 800, 0.904794
700, 800, 1.07639
800, 800, 1.21679
900, 800, 1.37279
1000, 800, 1.52879
100, 900, 0.218399
200, 900, 0.436797
300, 900, 0.623996
400, 900, 0.842395
500, 900, 1.06079
600, 900, 1.26559
700, 900, 1.46639
800, 900, 1.66919
900, 900, 1.88959
1000, 900, 2.09039
100, 1000, 0.265198
200, 1000, 0.514797
300, 1000, 0.779995
400, 1000, 1.04519
500, 1000, 1.27919
600, 1000, 1.54439
700, 1000, 1.79399
800, 1000, 2.04359
900, 1000, 2.30879
1000, 1000, 2.55838
