Iterations, Bodies, Time
100, 100, 0.0155997
200, 100, 0.0467991
300, 100, 0.0467991
400, 100, 0.0623988
500, 100, 0.0779985
600, 100, 0.109198
700, 100, 0.124798
800, 100, 0.124798
900, 100, 0.140397
1000, 100, 0.155997
100, 200, 0.0623988
200, 200, 0.124798
300, 200, 0.187196
400, 200, 0.249595
500, 200, 0.297394
600, 200, 0.343193
700, 200, 0.421192
800, 200, 0.483591
900, 200, 0.53039
1000, 200, 0.577189
100, 300, 0.124798
200, 300, 0.280795
300, 300, 0.421192
400, 300, 0.54599
500, 300, 0.670787
600, 300, 0.813184
700, 300, 0.935982
800, 300, 1.10758
900, 300, 1.21778
1000, 300, 1.35717
100, 400, 0.265195
200, 400, 0.51479
300, 400, 0.717586
400, 400, 0.967181
500, 400, 1.20118
600, 400, 1.43517
700, 400, 1.71597
800, 400, 1.91876
900, 400, 2.15276
1000, 400, 2.40235
100, 500, 0.405592
200, 500, 0.779985
300, 500, 1.13878
400, 500, 1.51317
500, 500, 1.88756
600, 500, 2.24636
700, 500, 2.66755
800, 500, 2.98154
900, 500, 3.35394
1000, 500, 3.79173
100, 600, 0.577189
200, 600, 1.07638
300, 600, 1.60677
400, 600, 2.15276
500, 600, 2.69875
600, 600, 3.21354
700, 600, 3.74393
800, 600, 4.27432
900, 600, 4.80471
1000, 600, 5.3663
100, 700, 0.748786
200, 700, 1.45277
300, 700, 2.18396
400, 700, 2.93274
500, 700, 3.65033
600, 700, 4.43031
700, 700, 5.1187
800, 700, 5.86749
900, 700, 6.56747
1000, 700, 7.34946
100, 800, 0.967181
200, 800, 1.91876
300, 800, 2.87034
400, 800, 3.80633
500, 800, 4.75991
600, 800, 5.64709
700, 800, 6.64547
800, 800, 7.64585
900, 800, 8.50384
1000, 800, 9.43782
100, 900, 1.23238
200, 900, 2.46475
300, 900, 3.85313
400, 900, 5.05433
500, 900, 6.37614
600, 900, 7.50532
700, 900, 8.52848
800, 900, 10.245
900, 900, 11.714
1000, 900, 12.518
100, 1000, 1.632
200, 1000, 3.146
300, 1000, 4.669
400, 1000, 6.137
500, 1000, 7.8
600, 1000, 9.51978
700, 1000, 11.363
800, 1000, 13.068
900, 1000, 14.005
1000, 1000, 15.7792
