Iterations, Bodies, Time
100, 100, 0.135
200, 100, 0.023
300, 100, 0.034
400, 100, 0.048
500, 100, 0.052
600, 100, 0.064
700, 100, 0.077
800, 100, 0.086
900, 100, 0.096
1000, 100, 0.104
100, 200, 0.017
200, 200, 0.031
300, 200, 0.047
400, 200, 0.065
500, 200, 0.079
600, 200, 0.094
700, 200, 0.108
800, 200, 0.119
900, 200, 0.133
1000, 200, 0.149
100, 300, 0.025
200, 300, 0.049
300, 300, 0.073
400, 300, 0.097
500, 300, 0.116
600, 300, 0.137
700, 300, 0.166
800, 300, 0.185
900, 300, 0.211
1000, 300, 0.233
100, 400, 0.04
200, 400, 0.076
300, 400, 0.112
400, 400, 0.143
500, 400, 0.179
600, 400, 0.212
700, 400, 0.249
800, 400, 0.285
900, 400, 0.318
1000, 400, 0.361
100, 500, 0.057
200, 500, 0.108
300, 500, 0.156
400, 500, 0.206
500, 500, 0.255
600, 500, 0.305
700, 500, 0.353
800, 500, 0.403
900, 500, 0.455
1000, 500, 0.5
100, 600, 0.084
200, 600, 0.159
300, 600, 0.236
400, 600, 0.31
500, 600, 0.389
600, 600, 0.465
700, 600, 0.54
800, 600, 0.613
900, 600, 0.682
1000, 600, 0.765
100, 700, 0.126
200, 700, 0.239
300, 700, 0.355
400, 700, 0.473
500, 700, 0.59
600, 700, 0.702
700, 700, 0.82
800, 700, 0.934
900, 700, 1.05
1000, 700, 1.166
100, 800, 0.159
200, 800, 0.303
300, 800, 0.446
400, 800, 0.595
500, 800, 0.743
600, 800, 0.886
700, 800, 1.032
800, 800, 1.18
900, 800, 1.319
1000, 800, 1.463
100, 900, 0.191
200, 900, 0.362
300, 900, 0.535
400, 900, 0.708
500, 900, 0.881
600, 900, 1.06
700, 900, 1.228
800, 900, 1.402
900, 900, 1.577
1000, 900, 1.746
100, 1000, 0.227
200, 1000, 0.435
300, 1000, 0.643
400, 1000, 0.85
500, 1000, 1.057
600, 1000, 1.266
700, 1000, 1.47
800, 1000, 1.682
900, 1000, 1.887
1000, 1000, 2.098
